"","pairwise_comparision.Hugo_Symbol","pairwise_comparision.Feature_1","pairwise_comparision.Feature_2","pairwise_comparision.n_mutated_Feature1","pairwise_comparision.n_mutated_Feature2","pairwise_comparision.fdr","groupwise_comparision.Hugo_Symbol","groupwise_comparision.Group1","groupwise_comparision.Group2","groupwise_comparision.n_mutated_group1","groupwise_comparision.n_mutated_group2","groupwise_comparision.p_value","groupwise_comparision.OR","groupwise_comparision.OR_low","groupwise_comparision.OR_high","groupwise_comparision.fdr","cf_sizes.cf","cf_sizes.N","clinicalFeature"
"1","PIK3CA","REC","LNM","22 of 66","6 of 56",0.0133902863165467,"PIK3CA","LNM","Rest","6 of 56","42 of 140",0.00532893824333382,0.281576892897554,0.0915765314125117,0.727521971244051,0.559538515550051,"PT",74,"Tumor.location"
"2","PIK3CA","PT","LNM","20 of 74","6 of 56",0.0399546847786241,"PIK3CA","REC","Rest","22 of 66","26 of 130",0.0528058743739835,1.99251929657752,0.96536199261748,4.10385381429329,1,"LNM",56,"Tumor.location"
"3","PALB2","PT","LNM","1 of 74","5 of 56",0.251727839364444,"PALB2","LNM","Rest","5 of 56","4 of 140",0.122236201455046,3.30917424045077,0.6828713396819,17.3629844692234,1,"REC",66,"Tumor.location"
"4","FAT1","PT","LNM","5 of 74","1 of 56",0.352770290732889,"PALB2","PT","Rest","1 of 74","8 of 122",0.157095006743303,0.196408066721774,0.00434518337044772,1.51624545113634,1,"PT",74,"Tumor.location"
"5","FAT1","REC","LNM","5 of 66","1 of 56",0.352770290732889,"BIRC6","REC","Rest","5 of 66","4 of 130",0.167310616981263,2.56834615889075,0.532057735976196,13.4257216086438,1,"LNM",56,"Tumor.location"
"6","BRCA1","REC","LNM","4 of 66","0 of 56",0.371613921276409,"BRCA2","REC","Rest","5 of 66","4 of 130",0.167310616981263,2.56834615889075,0.532057735976196,13.4257216086438,1,"REC",66,"Tumor.location"
"7","PIK3CA","REC","PT","22 of 66","20 of 74",0.462761590573226,"IGF2R","REC","Rest","5 of 66","4 of 130",0.167310616981263,2.56834615889075,0.532057735976196,13.4257216086438,1,"PT",74,"Tumor.location"
"8","PALB2","REC","LNM","3 of 66","5 of 56",0.467805250407501,"NOTCH4","REC","Rest","5 of 66","4 of 130",0.167310616981263,2.56834615889075,0.532057735976196,13.4257216086438,1,"LNM",56,"Tumor.location"
"9","PALB2","REC","PT","3 of 66","1 of 74",0.467805250407501,"BRCA1","REC","Rest","4 of 66","2 of 130",0.181915229087106,4.09644980893294,0.56966998775116,46.435196584749,1,"REC",66,"Tumor.location"
"10","BRCA1","PT","LNM","2 of 74","0 of 56",0.505784138342278,"FAT1","LNM","Rest","1 of 56","10 of 140",0.183705807632295,0.237567513795747,0.00535478913840049,1.74294040282338,1,"PT",74,"Tumor.location"
