Hugo_Symbol,Feature_1,Feature_2,n_mutated_Feature1,n_mutated_Feature2,fdr
PIK3CA,REC,LNM,22 of 67,6 of 57,0.0136449832725322
PIK3CA,PT,LNM,20 of 77,6 of 57,0.0425872200288036
POLE,REC,PT,10 of 67,4 of 77,0.263188932323755
KDM6A,PT,LNM,1 of 77,4 of 57,0.275778134436735
KDM6A,REC,PT,4 of 67,1 of 77,0.275778134436735
EPHB4,REC,LNM,0 of 67,3 of 57,0.283048071094143
TET2,REC,LNM,5 of 67,10 of 57,0.308457157468218
PKHD1,REC,LNM,12 of 67,16 of 57,0.350523811073002
PKHD1,REC,PT,12 of 67,21 of 77,0.350523811073002
MAP3K13,REC,LNM,4 of 67,0 of 57,0.371429140953589
EPHB4,REC,PT,0 of 67,3 of 77,0.372596153846154
MAP3K13,PT,LNM,3 of 77,0 of 57,0.391791044776119
PALB2,PT,LNM,2 of 77,5 of 57,0.40489728041843
TET2,PT,LNM,8 of 77,10 of 57,0.459423315612051
PIK3CA,REC,PT,22 of 67,20 of 77,0.462528877607828
PIK3C2B,REC,LNM,6 of 67,10 of 57,0.470511342219759
PIK3C2B,REC,PT,6 of 67,12 of 77,0.470511342219759
CIC,PT,LNM,4 of 77,6 of 57,0.484973226330265
CIC,REC,PT,8 of 67,4 of 77,0.484973226330265
POLE,PT,LNM,4 of 77,5 of 57,0.494643931507939
POLE,REC,LNM,10 of 67,5 of 57,0.494643931507939
CHD2,PT,LNM,1 of 77,3 of 57,0.507172879063799
CHD2,REC,PT,3 of 67,1 of 77,0.507172879063799
GPR124,REC,LNM,3 of 67,6 of 57,0.507915892732907
GPR124,REC,PT,3 of 67,7 of 77,0.507915892732907
POLD1,REC,PT,4 of 67,10 of 77,0.519408108947639
APC,REC,LNM,7 of 67,2 of 57,0.529993180742047
BRCA2,REC,LNM,16 of 67,8 of 57,0.541713164481369
SF3B1,REC,PT,4 of 67,1 of 77,0.55155626887347
ARID2,REC,PT,4 of 67,1 of 77,0.55155626887347
ARID2,REC,LNM,4 of 67,1 of 57,0.559625416695492
ATR,REC,LNM,4 of 67,8 of 57,0.572546087343281
ATR,REC,PT,4 of 67,8 of 77,0.572546087343281
TET2,REC,PT,5 of 67,8 of 77,0.575930873010174
SEMA3A,PT,LNM,4 of 77,1 of 57,0.590805514412669
SEMA3A,REC,PT,1 of 67,4 of 77,0.590805514412669
ATR,PT,LNM,8 of 77,8 of 57,0.594463042428095
APOB,PT,LNM,11 of 77,6 of 57,0.605632492530711
APOB,REC,LNM,13 of 67,6 of 57,0.605632492530711
APOB,REC,PT,13 of 67,11 of 77,0.605632492530711
TP53,PT,LNM,8 of 77,4 of 57,0.612673321733036
TP53,REC,LNM,9 of 67,4 of 57,0.612673321733036
TP53,REC,PT,9 of 67,8 of 77,0.612673321733036
PALB2,REC,PT,4 of 67,2 of 77,0.625532248643813
BRCA2,REC,PT,16 of 67,14 of 77,0.627894609454791
GATA2,PT,LNM,3 of 77,1 of 57,0.636322205765068
GATA2,REC,LNM,5 of 67,1 of 57,0.636322205765068
GATA2,REC,PT,5 of 67,3 of 77,0.636322205765068
BRCA2,PT,LNM,14 of 77,8 of 57,0.639191227329557
KMT2D,REC,LNM,9 of 67,4 of 57,0.656120105104292
KMT2D,REC,PT,9 of 67,7 of 77,0.656120105104292
TSC2,PT,LNM,1 of 77,3 of 57,0.660420289362261
TSC2,REC,LNM,2 of 67,3 of 57,0.660420289362261
TSC2,REC,PT,2 of 67,1 of 77,0.660420289362261
FAT1,PT,LNM,12 of 77,6 of 57,0.677470307658142
FAT1,REC,LNM,11 of 67,6 of 57,0.677470307658142
SF3B1,PT,LNM,1 of 77,2 of 57,0.686102788486123
SF3B1,REC,LNM,4 of 67,2 of 57,0.686102788486123
APC,PT,LNM,5 of 77,2 of 57,0.698320208911199
APC,REC,PT,7 of 67,5 of 77,0.698320208911199
ARID1A,PT,LNM,3 of 77,3 of 57,0.699103792784157
ARID1A,REC,LNM,1 of 67,3 of 57,0.699103792784157
ARID1A,REC,PT,1 of 67,3 of 77,0.699103792784157
EPHB4,PT,LNM,3 of 77,3 of 57,0.699103792784157
FANCM,PT,LNM,2 of 77,4 of 57,0.702063663647846
FANCM,REC,LNM,3 of 67,4 of 57,0.702063663647846
FANCM,REC,PT,3 of 67,2 of 77,0.702063663647846
FLT1,PT,LNM,3 of 77,1 of 57,0.704899781624844
FLT1,REC,LNM,4 of 67,1 of 57,0.704899781624844
FLT1,REC,PT,4 of 67,3 of 77,0.704899781624844
MAP3K13,REC,PT,4 of 67,3 of 77,0.704899781624844
ROS1,REC,LNM,5 of 67,2 of 57,0.709045254106881
ROS1,REC,PT,5 of 67,3 of 77,0.709045254106881
ETV4,REC,LNM,5 of 67,2 of 57,0.709045254106881
ETV4,REC,PT,5 of 67,3 of 77,0.709045254106881
LRP1B,REC,LNM,8 of 67,10 of 57,0.722145825448033
LRP1B,REC,PT,8 of 67,13 of 77,0.722145825448033
NOTCH3,PT,LNM,3 of 77,5 of 57,0.731146043429701
NOTCH3,REC,LNM,4 of 67,5 of 57,0.731146043429701
NOTCH3,REC,PT,4 of 67,3 of 77,0.731146043429701
PALB2,REC,LNM,4 of 67,5 of 57,0.731146043429701
CREBBP,PT,LNM,5 of 77,5 of 57,0.7431602098958
CREBBP,REC,LNM,3 of 67,5 of 57,0.7431602098958
CREBBP,REC,PT,3 of 67,5 of 77,0.7431602098958
ESR1,PT,LNM,4 of 77,4 of 57,0.752186787856942
ESR1,REC,LNM,6 of 67,4 of 57,0.752186787856942
ESR1,REC,PT,6 of 67,4 of 77,0.752186787856942
KMT2D,PT,LNM,7 of 77,4 of 57,0.758487745756857
CYP2D6,PT,LNM,6 of 77,6 of 57,0.761012264093893
CYP2D6,REC,LNM,4 of 67,6 of 57,0.761012264093893
CYP2D6,REC,PT,4 of 67,6 of 77,0.761012264093893
POLD1,REC,LNM,4 of 67,6 of 57,0.765911805538487
NOTCH4,PT,LNM,4 of 77,5 of 57,0.771871571100929
NOTCH4,REC,PT,6 of 67,4 of 77,0.771871571100929
