Target	gc_bias	mappability	reptiming	Gene	on_target
1:501-197384	0.429878686154931	NA	NA	.	FALSE
1:197385-394269	0.401593468661212	NA	NA	.	FALSE
1:394270-591153	0.453085427956755	NA	NA	.	FALSE
1:591154-788038	0.423633085303604	NA	NA	.	FALSE
1:788039-984923	0.58284785534703	NA	NA	.	FALSE
1:984924-1181807	0.613015785945023	NA	NA	.	FALSE
1:1181808-1378692	0.600832973563248	NA	NA	.	FALSE
1:1378693-1575576	0.577207899067471	NA	NA	.	FALSE
1:1575577-1772461	0.515869670111994	NA	NA	.	FALSE
1:1772462-1969346	0.542860045204053	NA	NA	.	FALSE
1:1969347-2166230	0.576268259482741	NA	NA	.	FALSE
1:2166231-2363115	0.578992813063463	NA	NA	.	FALSE
1:2363116-2559999	0.60945023465594	NA	NA	.	FALSE
1:2560000-2756884	0.588194846308336	NA	NA	.	FALSE
1:2756885-2953769	0.565553495695457	NA	NA	.	FALSE
1:2953770-3150653	0.571158651794966	NA	NA	.	FALSE
1:3150654-3347538	0.571358915102725	NA	NA	.	FALSE
1:3347539-3544422	0.605051705572825	NA	NA	.	FALSE
1:3544423-3741307	0.561967646087818	NA	NA	.	FALSE
1:3741308-3938192	0.505660776637393	NA	NA	.	FALSE
1:3938193-4135076	0.498204680704967	NA	NA	.	FALSE
1:4135077-4331961	0.474413998019148	NA	NA	.	FALSE
1:4331962-4528846	0.47899535261701	NA	NA	.	FALSE
1:4528847-4725730	0.482979825684159	NA	NA	.	FALSE
1:4725731-4922615	0.490499530182594	NA	NA	.	FALSE
1:4922616-5119499	0.446643708986002	NA	NA	.	FALSE
1:5119500-5316384	0.426355486705437	NA	NA	.	FALSE
1:5316385-5513269	0.476013916753435	NA	NA	.	FALSE
1:5513270-5710153	0.464943824790232	NA	NA	.	FALSE
1:5710154-5907038	0.507230108946847	NA	NA	.	FALSE
1:5907039-6103922	0.519183884927165	NA	NA	.	FALSE
1:6103923-6300807	0.550879955303858	NA	NA	.	FALSE
1:6300808-6497692	0.549950478705843	NA	NA	.	FALSE
1:6497693-6694576	0.55303122650901	NA	NA	.	FALSE
1:6694577-6891461	0.45403662036214	NA	NA	.	FALSE
1:6891462-7088345	0.463602933707157	NA	NA	.	FALSE
1:7088346-7285230	0.462071767783224	NA	NA	.	FALSE
1:7285231-7482115	0.46396119562181	NA	NA	.	FALSE
1:7482116-7678999	0.532089961601755	NA	NA	.	FALSE
1:7679000-7875884	0.482367879726744	NA	NA	.	FALSE
1:7875885-8072768	0.444210804331485	NA	NA	.	FALSE
1:8073270-8073664	0.460759493670886	NA	NA	ERRFI1	TRUE
1:8073665-8074060	0.487373737373737	NA	NA	ERRFI1	TRUE
1:8074061-8074456	0.477272727272727	NA	NA	ERRFI1	TRUE
1:8075356-8075455	0.43	NA	NA	ERRFI1	TRUE
1:8075555-8075679	0.448	NA	NA	ERRFI1	TRUE
1:8076180-8269355	0.446753219861681	NA	NA	.	FALSE
1:8269356-8462531	0.485722864123908	NA	NA	.	FALSE
1:8462532-8655707	0.416982440882925	NA	NA	.	FALSE
1:8655708-8848884	0.404996454029206	NA	NA	.	FALSE
1:8848885-9042060	0.470032509214395	NA	NA	.	FALSE
1:9042061-9235236	0.492416242183294	NA	NA	.	FALSE
1:9235237-9428412	0.523367292003147	NA	NA	.	FALSE
1:9428413-9621589	0.497709354633316	NA	NA	.	FALSE
1:9621590-9814765	0.514132190334203	NA	NA	.	FALSE
1:9814766-10007941	0.485702157617924	NA	NA	.	FALSE
1:10007942-10201117	0.452178324429536	NA	NA	.	FALSE
1:10201118-10394294	0.428834695641821	NA	NA	.	FALSE
1:10394295-10587470	0.462376278626745	NA	NA	.	FALSE
1:10587471-10780646	0.514432434670974	NA	NA	.	FALSE
1:10780647-10973822	0.531515302107922	NA	NA	.	FALSE
1:10973823-11166999	0.493713019665902	NA	NA	.	FALSE
1:11167500-11167599	0.42	NA	NA	MTOR	TRUE
1:11168238-11168343	0.481132075471698	NA	NA	MTOR	TRUE
1:11169337-11169436	0.44	NA	NA	MTOR	TRUE
1:11169696-11169795	0.45	NA	NA	MTOR	TRUE
1:11172892-11172991	0.53	NA	NA	MTOR	TRUE
1:11174375-11174510	0.544117647058823	NA	NA	MTOR	TRUE
1:11174857-11174956	0.4	NA	NA	MTOR	TRUE
1:11175439-11175538	0.5	NA	NA	MTOR	TRUE
1:11177052-11177151	0.43	NA	NA	MTOR	TRUE
1:11181303-11181425	0.560975609756098	NA	NA	MTOR	TRUE
1:11182036-11182183	0.547297297297297	NA	NA	MTOR	TRUE
1:11184555-11184690	0.507352941176471	NA	NA	MTOR	TRUE
1:11186679-11186853	0.491428571428571	NA	NA	MTOR	TRUE
1:11187067-11187201	0.503703703703704	NA	NA	MTOR	TRUE
1:11187681-11187863	0.53551912568306	NA	NA	MTOR	TRUE
1:11188061-11188183	0.544715447154472	NA	NA	MTOR	TRUE
1:11188510-11188609	0.53	NA	NA	MTOR	TRUE
1:11188910-11189009	0.49	NA	NA	MTOR	TRUE
1:11189795-11189895	0.554455445544555	NA	NA	MTOR	TRUE
1:11190576-11190675	0.65	NA	NA	MTOR	TRUE
1:11190732-11190834	0.553398058252427	NA	NA	MTOR	TRUE
1:11193137-11193254	0.542372881355932	NA	NA	MTOR	TRUE
1:11194408-11194523	0.560344827586207	NA	NA	MTOR	TRUE
1:11199361-11199492	0.5	NA	NA	MTOR	TRUE
1:11199590-11199715	0.563492063492063	NA	NA	MTOR	TRUE
1:11204705-11204812	0.564814814814815	NA	NA	MTOR	TRUE
1:11205014-11205113	0.5	NA	NA	MTOR	TRUE
1:11206733-11206848	0.525862068965517	NA	NA	MTOR	TRUE
1:11210183-11210283	0.564356435643564	NA	NA	MTOR	TRUE
1:11217209-11217348	0.578571428571429	NA	NA	MTOR	TRUE
1:11227487-11227586	0.47	NA	NA	MTOR	TRUE
1:11228087-11258814	0.448385837021609	NA	NA	.	FALSE
1:11259315-11259460	0.534246575342466	NA	NA	MTOR	TRUE
1:11259598-11259760	0.47239263803681	NA	NA	MTOR	TRUE
1:11264618-11264760	0.657342657342657	NA	NA	MTOR	TRUE
1:11269369-11269515	0.503401360544218	NA	NA	MTOR	TRUE
1:11270867-11270966	0.41	NA	NA	MTOR	TRUE
